Time,Activities,Duration,Distance,Avg speed,Avg pace,Avg heart rate,Ascent,TSS®,Calories,Est. VO₂max
28/03/22-03/04/22,4,4:52'33 ,"69,17 km","14,2 km/h",04'13 /km,151 bpm,462 m,408 TSS,3 847 kcal,"61,0 "
21/03/22-27/03/22,7,5:45'04 ,"74,46 km","12,9 km/h",04'38 /km,139 bpm,856 m,367 TSS,4 035 kcal,"60,5 "
14/03/22-20/03/22,7,5:56'26 ,"77,72 km","13,1 km/h",04'35 /km,140 bpm,609 m,398 TSS,4 208 kcal,"60,6 "
07/03/22-13/03/22,6,6:37'33 ,"86,31 km","13,0 km/h",04'36 /km,139 bpm,577 m,425 TSS,4 549 kcal,"60,7 "
28/02/22-06/03/22,7,6:36'46 ,"86,06 km","13,0 km/h",04'36 /km,139 bpm,374 m,415 TSS,4 574 kcal,"60,5 "
21/02/22-27/02/22,7,10:27'56 ,"90,77 km","8,7 km/h",06'55 /km,132 bpm,2 298 m,573 TSS,6 349 kcal,"58,1 "
14/02/22-20/02/22,6,6:54'12 ,"86,35 km","12,5 km/h",04'47 /km,138 bpm,1 154 m,428 TSS,4 682 kcal,"60,7 "
07/02/22-13/02/22,6,6:07'26 ,"78,53 km","12,8 km/h",04'40 /km,139 bpm,214 m,386 TSS,4 190 kcal,"60,9 "
31/01/22-06/02/22,6,6:46'34 ,"86,84 km","12,8 km/h",04'40 /km,137 bpm,287 m,424 TSS,4 598 kcal,"59,7 "
24/01/22-30/01/22,6,5:52'31 ,"74,81 km","12,7 km/h",04'42 /km,139 bpm,286 m,336 TSS,4 143 kcal,"59,0 "
17/01/22-23/01/22,6,6:13'27 ,"80,26 km","12,9 km/h",04'39 /km,142 bpm,327 m,319 TSS,4 399 kcal,"58,9 "
10/01/22-16/01/22,6,6:39'59 ,"84,98 km","12,7 km/h",04'39 /km,120 bpm,226 m,306 TSS,3 794 kcal,"57,0 "
